imageSrc,czechName,info
images/image1.jpeg,KOS ČERNÝ,"KOS ČERNÝ je známý svým krásným zpěvem, který je slyšet hlavně brzy ráno. Sameček má černé peří a výrazný žlutý zobák. Dokáže si dobře přizpůsobit život ve městě i v přírodě. Je jedním z nejznámějších ptáků u nás."
images/image2.jpeg,SÝKORA KOŇADRA,"SÝKORA KOŇADRA má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image3.jpeg,PĚNKAVA OBECNÁ,"PĚNKAVA OBECNÁ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image4.jpeg,HAVRAN POLNÍ,"HAVRAN POLNÍ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image5.jpeg,KAVKA OBECNÁ,"KAVKA OBECNÁ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image6.jpeg,SOJKA OBECNÁ,"SOJKA OBECNÁ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image7.jpeg,STRNAD OBECNÝ,"STRNAD OBECNÝ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image8.jpeg,STRAKA OBECNÁ,"STRAKA OBECNÁ patří mezi nejinteligentnější ptáky. Dokáže se poznat v zrcadle, což umí jen málo zvířat. Staví velká hnízda z větví. Často sbírá lesklé předměty, které ji zaujmou."
images/image9.jpeg,VLAŠTOVKA OBECNÁ,"VLAŠTOVKA OBECNÁ každý rok podniká dlouhou cestu do Afriky a zpět. Dokáže letět tisíce kilometrů a vrací se často na stejné místo. Hnízda si staví z bláta pod střechami domů. Je symbolem jara, protože se vrací s teplejším počasím."
images/image10.jpeg,JIŘIČKA OBECNÁ,"JIŘIČKA OBECNÁ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image11.jpeg,VRABEC POLNÍ,"VRABEC POLNÍ žije velmi blízko lidí a často ho potkáš ve městech. Je velmi společenský a žije ve skupinách. Dorozumívá se hlasitým štěbetáním. I když je malý, dokáže být velmi odvážný."
images/image12.jpeg,DROZD ZPĚVNÝ,"DROZD ZPĚVNÝ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image13.jpeg,KONIPAS BÍLÝ,"KONIPAS BÍLÝ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image14.jpeg,BRHLÍK LESNÍ,"BRHLÍK LESNÍ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image15.jpeg,POŠTOLKA OBECNÁ,"POŠTOLKA OBECNÁ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image16.jpeg,JESTŘÁB LESNÍ,"JESTŘÁB LESNÍ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
